student_id,subject_id,tutor_id,stamp
1,66,389,2025-12-06 15:00:00
2,71,593,2025-12-09 17:00:00
3,35,636,2025-11-18 17:00:00
4,60,928,2025-12-08 18:00:00
5,39,748,2025-12-12 14:00:00
6,34,668,2025-12-10 13:00:00
7,9,136,2025-12-07 14:00:00
8,34,647,2025-11-20 14:00:00
9,58,697,2025-11-22 15:00:00
10,39,410,2025-11-19 14:00:00
11,35,100,2025-12-01 14:00:00
12,6,383,2025-11-08 16:00:00
13,18,876,2025-11-18 16:00:00
14,58,357,2025-11-15 17:00:00
15,18,308,2025-11-15 15:00:00
16,57,652,2025-11-12 16:00:00
17,36,637,2025-11-13 17:00:00
18,58,517,2025-11-08 15:00:00
19,6,423,2025-11-22 17:00:00
20,18,156,2025-11-25 17:00:00
21,66,413,2025-11-23 18:00:00
22,49,825,2025-11-01 15:00:00
23,42,771,2025-11-11 13:00:00
24,43,110,2025-11-02 15:00:00
25,66,681,2025-10-29 18:00:00
26,12,684,2025-10-31 16:00:00
27,71,392,2025-11-05 16:00:00
28,35,153,2025-11-08 18:00:00
29,71,570,2025-10-23 18:00:00
30,59,619,2025-11-09 14:00:00
31,34,407,2025-11-02 14:00:00
32,66,960,2025-10-31 18:00:00
33,51,358,2025-11-02 17:00:00
34,71,578,2025-10-30 17:00:00
35,36,451,2025-10-19 13:00:00
36,58,174,2025-10-12 16:00:00
37,72,998,2025-10-13 13:00:00
38,54,632,2025-10-19 17:00:00
39,71,706,2025-10-01 15:00:00
40,58,190,2025-09-26 14:00:00
41,48,997,2025-10-06 13:00:00
42,34,625,2025-10-01 14:00:00
43,35,948,2025-10-07 14:00:00
44,59,735,2025-10-11 17:00:00
45,54,681,2025-09-27 18:00:00
46,24,41,2025-10-02 13:00:00
47,30,439,2025-10-01 18:00:00
48,71,643,2025-09-21 15:00:00
49,59,608,2025-10-10 13:00:00
50,66,618,2025-09-22 18:00:00
51,66,855,2025-09-10 17:00:00
52,39,197,2025-09-04 16:00:00
53,59,841,2025-09-11 18:00:00
54,34,690,2025-09-25 14:00:00
55,35,720,2025-08-29 13:00:00
56,58,514,2025-09-01 16:00:00
57,42,787,2025-09-23 13:00:00
58,35,202,2025-09-19 18:00:00
59,24,144,2025-08-18 13:00:00
60,66,581,2025-09-04 15:00:00
61,9,342,2025-09-14 13:00:00
62,39,697,2025-10-16 15:00:00
63,35,71,2025-08-31 13:00:00
64,35,251,2025-08-21 15:00:00
65,60,870,2025-08-24 17:00:00
66,42,592,2025-08-18 13:00:00
67,71,295,2025-08-24 16:00:00
68,60,512,2025-10-14 14:00:00
69,15,784,2025-08-24 15:00:00
70,48,101,2025-10-28 16:00:00
71,48,451,2025-08-09 18:00:00
72,34,781,2025-08-05 17:00:00
73,35,432,2025-08-12 16:00:00
74,37,884,2025-08-09 18:00:00
75,35,754,2025-09-10 16:00:00
76,35,318,2025-10-09 13:00:00
77,71,541,2025-08-08 16:00:00
78,71,914,2025-08-05 14:00:00
79,35,107,2025-08-29 16:00:00
80,42,864,2025-09-27 17:00:00
81,66,504,2025-10-08 16:00:00
82,59,477,2025-08-23 15:00:00
83,54,523,2025-08-15 14:00:00
84,59,388,2025-09-04 14:00:00
85,36,189,2025-09-02 16:00:00
86,34,343,2025-09-30 16:00:00
87,60,162,2025-06-27 15:00:00
88,71,304,2025-09-23 16:00:00
89,58,266,2025-10-05 15:00:00
90,37,524,2025-10-24 14:00:00
91,18,519,2025-10-28 13:00:00
92,3,655,2025-08-24 17:00:00
93,24,104,2025-06-11 15:00:00
94,15,793,2025-06-23 17:00:00
95,71,95,2025-11-03 15:00:00
96,71,128,2025-06-16 16:00:00
97,60,849,2025-06-12 15:00:00
98,59,762,2025-06-10 17:00:00
99,58,531,2025-05-30 13:00:00
100,30,678,2025-06-02 17:00:00
101,39,312,2025-05-25 16:00:00
102,66,242,2025-06-01 15:00:00
103,71,172,2025-06-11 16:00:00
104,54,589,2025-06-04 18:00:00
105,43,813,2025-05-28 13:00:00
106,30,350,2025-05-14 15:00:00
107,72,986,2025-05-26 18:00:00
108,9,288,2025-05-24 17:00:00
109,59,177,2025-05-09 17:00:00
110,66,526,2025-05-05 17:00:00
111,72,912,2025-05-26 13:00:00
112,57,660,2025-04-28 18:00:00
113,35,173,2025-05-06 13:00:00
114,24,754,2025-04-28 17:00:00
115,71,612,2025-04-27 13:00:00
116,43,495,2025-04-30 18:00:00
117,6,785,2025-05-02 17:00:00
118,72,923,2025-04-18 16:00:00
119,43,147,2025-04-14 17:00:00
120,34,458,2025-04-28 15:00:00
121,35,621,2025-04-10 14:00:00
122,55,262,2025-04-02 18:00:00
123,56,631,2025-04-04 17:00:00
124,42,446,2025-03-27 17:00:00
125,54,642,2025-04-09 15:00:00
126,49,617,2025-04-09 13:00:00
127,60,968,2025-03-18 16:00:00
128,12,1000,2025-04-14 17:00:00
129,35,776,2025-03-23 16:00:00
130,48,679,2025-03-17 13:00:00
131,58,369,2025-03-25 17:00:00
132,58,864,2025-03-13 16:00:00
133,58,268,2025-03-19 15:00:00
134,39,182,2025-03-11 15:00:00
135,55,881,2025-03-18 17:00:00
136,54,714,2025-03-12 16:00:00
137,3,614,2025-03-05 17:00:00
138,30,929,2025-02-28 17:00:00
139,60,224,2025-03-10 14:00:00
140,35,404,2025-02-17 18:00:00
141,60,250,2025-03-03 16:00:00
142,35,680,2025-02-14 15:00:00
143,55,162,2025-02-14 16:00:00
144,6,565,2025-02-16 14:00:00
145,58,894,2025-02-08 17:00:00
146,72,413,2025-02-12 18:00:00
147,37,839,2025-02-21 18:00:00
148,25,825,2025-02-15 14:00:00
149,43,316,2025-02-11 14:00:00
150,58,750,2025-01-31 15:00:00
151,24,971,2025-01-31 14:00:00
152,15,551,2025-01-20 13:00:00
153,59,934,2025-01-16 18:00:00
154,58,313,2025-01-29 14:00:00
155,54,877,2025-01-13 17:00:00
156,42,800,2025-01-24 17:00:00
157,42,568,2025-01-15 18:00:00
158,54,393,2024-12-27 15:00:00
159,49,618,2025-01-04 18:00:00
160,25,419,2025-01-05 18:00:00
161,6,161,2024-12-26 13:00:00
162,42,625,2025-01-05 13:00:00
163,25,273,2024-12-19 18:00:00
164,71,392,2025-01-02 15:00:00
165,59,891,2024-12-26 13:00:00
166,71,494,2024-12-09 14:00:00
167,36,681,2024-12-03 18:00:00
168,34,908,2024-12-20 14:00:00
169,39,782,2024-12-15 16:00:00
170,71,272,2024-12-07 18:00:00
171,71,954,2024-12-18 17:00:00
172,25,487,2024-12-08 13:00:00
173,72,387,2024-12-08 17:00:00
174,45,409,2024-11-22 14:00:00
175,6,667,2024-12-09 13:00:00
176,58,257,2024-11-22 13:00:00
177,9,574,2024-11-24 16:00:00
178,12,518,2024-11-26 17:00:00
179,36,403,2024-11-13 15:00:00
180,3,698,2024-11-18 15:00:00
181,39,951,2024-10-27 17:00:00
182,36,948,2024-11-02 14:00:00
183,48,858,2024-10-23 13:00:00
184,36,290,2024-10-29 18:00:00
185,71,639,2024-10-27 14:00:00
186,59,557,2024-10-10 15:00:00
187,72,568,2024-10-25 16:00:00
188,71,653,2024-10-15 14:00:00
189,24,933,2024-10-15 18:00:00
190,35,680,2024-10-14 18:00:00
191,57,801,2024-10-16 18:00:00
192,58,917,2024-10-05 18:00:00
193,12,542,2024-10-16 17:00:00
194,18,312,2024-09-23 17:00:00
195,30,368,2024-09-20 15:00:00
196,55,927,2024-09-18 17:00:00
197,43,585,2024-10-06 14:00:00
198,59,258,2024-09-03 16:00:00
199,12,728,2024-09-15 13:00:00
200,34,692,2024-09-15 18:00:00
201,9,506,2024-09-07 18:00:00
202,6,244,2024-09-06 18:00:00
203,51,329,2024-09-14 13:00:00
