session_id,student_id,tutor_id,subject_id,stamp,duration,status
0,0,0,1,2020-08-25 15:00:00,1.0,0
1,1,0,3,2020-08-28 18:00:00,1.0,0
2,2,0,5,2020-08-26 17:00:00,1.0,0
3,3,0,4,2020-08-24 15:00:00,1.0,0
4,4,0,2,2020-08-27 15:00:00,1.0,0
5,5,0,1,2020-08-25 16:00:00,1.0,0
6,6,0,3,2020-08-25 16:00:00,1.0,0
7,7,0,2,2020-08-25 18:00:00,1.0,0
8,8,0,2,2020-08-27 18:00:00,1.0,0
9,9,0,4,2020-08-25 14:00:00,1.0,0
10,0,0,1,2020-09-01 15:00:00,1.0,1
11,5,0,1,2020-09-01 16:00:00,1.0,0
12,10,0,2,2020-09-01 17:00:00,1.0,0
13,11,0,4,2020-09-03 13:00:00,1.0,0
14,3,0,2,2020-09-04 16:00:00,1.0,0
15,1,0,6,2020-09-06 13:00:00,1.0,0
16,0,0,1,2020-09-08 15:00:00,1.0,0
17,5,0,1,2020-09-08 16:00:00,1.0,0
18,7,0,5,2020-09-08 13:00:00,1.0,0
19,8,0,3,2020-09-10 15:00:00,1.0,0
20,12,0,2,2020-09-10 13:00:00,1.0,0
21,13,0,6,2020-09-12 14:00:00,1.0,0
22,14,0,3,2020-09-13 16:00:00,1.0,0
23,0,0,1,2020-09-15 15:00:00,1.0,0
24,5,0,1,2020-09-15 16:00:00,1.0,1
25,10,0,1,2020-09-17 16:00:00,1.0,0
26,15,0,1,2020-09-17 16:00:00,1.0,0
27,12,0,6,2020-09-18 14:00:00,1.0,0
28,16,0,4,2020-09-19 18:00:00,1.0,0
29,17,0,1,2020-09-21 15:00:00,1.0,0
30,0,0,1,2020-09-22 15:00:00,1.0,0
31,5,0,1,2020-09-22 16:00:00,1.0,0
32,15,0,1,2020-09-24 16:00:00,1.0,0
33,18,0,2,2020-09-25 18:00:00,1.0,0
34,19,0,2,2020-09-27 14:00:00,1.0,0
35,17,0,1,2020-09-28 15:00:00,1.0,0
36,0,0,1,2020-09-29 15:00:00,1.0,0
37,5,0,1,2020-09-29 16:00:00,1.0,0
38,20,0,6,2020-09-29 18:00:00,1.0,0
39,15,0,1,2020-10-01 16:00:00,1.0,0
40,13,0,2,2020-10-03 16:00:00,1.0,0
41,21,0,2,2020-10-03 14:00:00,1.0,0
